게임명,9월 MAU(만)
원신,56
붕괴: 스타레일,44.6
승리의 여신: 니케,31
프로젝트 세카이 컬러풀 스테이지! Feat. 하츠네 미쿠,26.1
블루 아카이브,24.6
젠레스 존 제로,24.1
나 혼자만 레벨업: 어라이즈,22.7
명조: 워더링 웨이브,22.1
트릭컬 리바이브,21.9
명일방주,19
앙상블 스타즈!!,17.7
림버스 컴퍼니,16.4
에픽세븐,15
페이트 그랜드 오더,14.7
작혼: 리치마작,13.9
리버스: 1999,13.7
우마무스메 프리티 더비,13.5
유희왕 마스터 듀얼,11.4
영웅전설: 가가브 트릴로지,10.3
로드 오브 히어로즈,9.4
브라운더스트 2,7.3
소드 오브 콘발라리아,7
일곱 개의 대죄: 그랜드 크로스,6.5
프린세스 커넥트! Re:Dive,6.2
가디언 테일즈,5.9
카운터사이드,5.1
카드캡터 체리: 추억의 열쇠,4.8
벽람항로,4
신의 탑: 새로운 세계,3.5
붕괴 3rd,3.5
에버소울,3.3
러브앤 딥스페이스,3.1
뉴럴 클라우드,2.9
무기미도,2.8
소녀전선,2.5
아우터플레인,2.1
스타시드 아스니아 트리거,2.1
랑그릿사 모바일,1.9
페르소나 5 더 팬텀 X,1.9
백야극광,1.8
헤븐 번즈 레드,1.7
창세기전 모바일,1.5
어나더에덴 시공을 넘는 고양이,1.4
퍼니싱 그레이 레이븐,1.3
캣 판타지,1.3
브라운더스트 1,1.1
메멘토 모리,1
라스트 워,34.7
버섯커 키우기,15.5
세븐나이츠 키우기,9.1
그랑사가 키우기,4.1
쿠키런: 킹덤,65.7
쿠키런: 모험의 탑,25.3
AFK: 새로운 여정,40.2
운빨존많겜,91.9
던전앤파이터 모바일,7.3
리니지 M,26.3
오딘: 발할라 라이징,10.4
로드나인,11.2
호연,14
