게임명,8월 달러 매출 추정(만),8월 원 매출 추정(억)
승리의 여신: 니케,556,74.5
나 혼자만 레벨업: 어라이즈,404,54.1
명조: 워더링 웨이브,355,47.6
젠레스 존 제로,338,45.3
붕괴: 스타레일,302,40.5
원신,255,34.1
블루 아카이브,197,26.4
명일방주,163,21.8
우마무스메 프리티 더비,148,19.8
에픽세븐,141,18.9
페이트 그랜드 오더,90.7,12.1
트릭컬 리바이브,88,11.7
신의 탑: 새로운 세계,70.7,9.47
로드 오브 히어로즈,61.8,8.28
리버스: 1999,57,7.64
에코칼립스: 진홍의 서막,48.3,6.47
앙상블 스타즈!!,40.3,5.4
유희왕 마스터 듀얼,40.2,5.39
브라운더스트 2,39.5,5.29
랑그릿사,35.5,4.76
작혼: 리치마작,34.5,4.62
러브앤 딥스페이스,34.4,4.61
창세기전 모바일,33.9,4.54
프로젝트 세카이 컬러풀 스테이지! Feat. 하츠네 미쿠,33.6,4.51
일곱개의 대죄: 그랜드 크로스,31.5,4.22
림버스 컴퍼니,28.2,3.78
페르소나 5 더 팬텀 X,24,3.21
스타시드 아스니아 트리거,20.9,2.81
벽람항로,20.8,2.79
에버소울,20.7,2.78
카운터사이드,19.5,2.61
뉴럴 클라우드,16.1,2.16
붕괴 3rd,15.9,2.08
프린세스 커넥트! Re:Dive,15.5,2.08
헤븐 번즈 레드,11.6,1.56
가디언 테일즈,11.1,1.49
리니지M,3792,508
라스트 워: 서바이벌,2851,382
WOS: 화이트아웃 서바이벌,1695,227
AFK: 새로운 여정,1409,188
로드나인,1407,188
오딘: 발할라 라이징,1379,184
로얄 매치,1150,154
버섯커 키우기,819,109
리니지W,778,104
Roblox,769,103
운빨존많겜,724,97
리니지2M,721,96
FC 모바일,655,87
TFT,654,87
브롤스타즈,559,75
쿠키런: 모험의 탑,525,70
레이븐2,380,51
EA FC,369,49
